,rmse,mae,pnsr,ssim,ms_ssim,std,Date,bathy,Tide,Hs_m,Tp_m,Dir_m,rip
115,0.3830536,0.29248068,27.903555,0.8308337,0.9502628,1.2506263e-08,2018-01-29 11:45:00,2018-01-31,3.28,1.9499999564141035,12.899999711662533,307.5,1
116,0.43200257,0.32883155,26.85902,0.80972266,0.9402652,1.2333146e-08,2018-01-29 12:15:00,2018-01-31,3.58,1.959999956190586,12.899999711662533,307.5,1
117,0.44198656,0.3548523,26.660564,0.7876046,0.9325005,1.2458798e-08,2018-01-29 12:45:00,2018-01-31,3.81,1.959999956190586,12.899999711662533,307.5,1
118,0.5408733,0.3691376,24.906836,0.8163751,0.93065697,1.2280708e-08,2018-01-29 13:00:00,2018-01-31,3.9,1.9499999564141035,12.989999709650874,307.5,1
119,0.46594682,0.35911432,26.202019,0.8129895,0.9357421,1.3092546e-08,2018-01-29 13:15:00,2018-01-31,3.97,1.9499999564141035,12.989999709650874,307.5,1
120,0.4436051,0.3308369,26.628815,0.8057124,0.93643856,1.33658205e-08,2018-01-29 13:30:00,2018-01-31,4.01,1.9499999564141035,12.989999709650874,307.5,1
121,0.47143355,0.35989338,26.100336,0.80780107,0.93490726,1.3259637e-08,2018-01-29 13:45:00,2018-01-31,4.03,1.9499999564141035,12.989999709650874,307.5,1
122,0.46643767,0.33776337,26.192875,0.7898176,0.92493266,1.214616e-08,2018-01-29 14:00:00,2018-01-31,4.03,1.969999955967069,12.879999712109566,307.5,1
123,0.5200809,0.33353138,25.247328,0.8073388,0.9404179,1.1069233e-08,2018-01-29 14:15:00,2018-01-31,4.0,1.969999955967069,12.879999712109566,307.5,1
124,0.45106357,0.34477046,26.483992,0.80583405,0.93982786,1.2484804e-08,2018-01-29 14:30:00,2018-01-31,3.94,1.969999955967069,12.879999712109566,307.5,1
125,0.45416972,0.35546136,26.424383,0.79888934,0.9355848,1.2186803e-08,2018-01-29 14:45:00,2018-01-31,3.87,1.969999955967069,12.879999712109566,307.5,1
126,0.4153612,0.32562685,27.200228,0.80363846,0.94008386,1.2186604e-08,2018-01-29 15:00:00,2018-01-31,3.77,1.9499999564141035,12.869999712333083,307.5,1
127,0.37469006,0.28131133,28.095303,0.83015865,0.95021707,1.1706817e-08,2018-01-29 15:15:00,2018-01-31,3.65,1.9499999564141035,12.869999712333083,307.5,1
128,0.46733868,0.30001116,26.176111,0.7888176,0.9392368,1.0436651e-08,2018-01-29 15:30:00,2018-01-31,3.52,1.9499999564141035,12.869999712333083,307.5,1
129,0.35668355,0.25204825,28.523085,0.81783205,0.95334727,1.10030385e-08,2018-01-29 15:45:00,2018-01-31,3.36,1.9499999564141035,12.869999712333083,307.5,1
130,0.3652252,0.2669096,28.317532,0.7625632,0.94565046,9.993073e-09,2018-01-29 16:00:00,2018-01-31,3.18,1.969999955967069,12.749999715015292,307.5,1
131,0.44871762,0.35562754,26.529284,0.6833484,0.92033345,9.429442e-09,2018-01-29 16:15:00,2018-01-31,2.98,1.969999955967069,12.749999715015292,307.5,1
132,0.4267738,0.32761282,26.96479,0.717935,0.9293068,1.0341324e-08,2018-01-29 16:30:00,2018-01-31,2.78,1.969999955967069,12.749999715015292,307.5,1
133,0.48044175,0.37378877,25.935932,0.7781921,0.9397138,1.3105279e-08,2018-01-29 17:00:00,2018-01-31,2.34,1.9899999555200336,12.689999716356397,307.5,1
134,0.55186296,0.4074034,24.73212,0.68615454,0.90797776,1.3814713e-08,2018-01-30 09:45:00,2018-01-31,1.02,1.919999957084656,13.309999702498317,307.5,1
135,0.5217469,0.3958863,25.21955,0.67265624,0.9098671,1.330136e-08,2018-01-30 10:00:00,2018-01-31,1.17,1.919999957084656,13.23999970406294,307.5,1
136,0.4311379,0.3272131,26.876423,0.7371275,0.9389829,1.2979257e-08,2018-01-30 10:30:00,2018-01-31,1.54,1.919999957084656,13.23999970406294,307.5,1
137,0.43102476,0.33768916,26.878702,0.7294758,0.9321501,1.3639607e-08,2018-01-30 10:45:00,2018-01-31,1.74,1.919999957084656,13.23999970406294,307.5,1
138,0.4267701,0.337965,26.964867,0.721205,0.9352922,1.2723973e-08,2018-01-30 11:00:00,2018-01-31,1.96,1.8999999575316904,13.199999704957008,307.5,1
139,0.4125688,0.31983125,27.25882,0.8150672,0.945791,1.4260252e-08,2018-01-30 11:30:00,2018-01-31,2.4,1.8999999575316904,13.199999704957008,307.5,1
140,0.39130557,0.31471193,27.718426,0.8141862,0.9478845,1.3896852e-08,2018-01-30 11:45:00,2018-01-31,2.62,1.8999999575316904,13.199999704957008,307.5,1
141,0.37708023,0.29361695,28.04007,0.82352316,0.9484345,1.2780504e-08,2018-01-30 12:00:00,2018-01-31,2.84,1.8799999579787257,13.119999706745148,307.5,1
142,0.37682736,0.28192592,28.045898,0.82936984,0.94804084,1.2867275e-08,2018-01-30 12:15:00,2018-01-31,3.06,1.8799999579787257,13.119999706745148,307.5,1
143,0.3812755,0.2838824,27.94397,0.8264927,0.95497835,1.2078573e-08,2018-01-30 12:30:00,2018-01-31,3.26,1.8799999579787257,13.119999706745148,307.5,1
144,0.5104369,0.32721308,25.409904,0.8068809,0.93850803,1.253855e-08,2018-01-30 12:45:00,2018-01-31,3.46,1.8799999579787257,13.119999706745148,307.5,1
145,0.45401978,0.3232365,26.42725,0.8227601,0.94237655,1.2435521e-08,2018-01-30 13:00:00,2018-01-31,3.63,1.8699999582022429,13.039999708533289,307.5,1
146,0.5281852,0.44090113,25.113022,0.73733294,0.91422796,1.4021651e-08,2018-01-30 14:00:00,2018-01-31,4.13,1.8799999579787257,12.969999710097907,307.5,1
147,0.47552982,0.3866282,26.02519,0.77828217,0.93049544,1.4946465e-08,2018-01-30 14:30:00,2018-01-31,4.23,1.8799999579787257,12.969999710097907,307.5,1
148,0.4716425,0.36779478,26.096487,0.7829722,0.9313773,1.2258397e-08,2018-01-30 15:15:00,2018-01-31,4.17,1.8299999590963123,12.889999711886048,307.5,1
149,0.48016235,0.37494144,25.940983,0.773833,0.92655426,1.3040079e-08,2018-01-30 15:30:00,2018-01-31,4.1,1.8299999590963123,12.889999711886048,307.5,1
150,0.45851946,0.35775393,26.34159,0.7904551,0.9337846,1.3409817e-08,2018-01-30 15:45:00,2018-01-31,4.0,1.8299999590963123,12.889999711886048,307.5,1
151,0.43248698,0.2953454,26.849285,0.8234534,0.9459798,1.1023786e-08,2018-01-30 16:00:00,2018-01-31,3.88,1.8499999586492777,12.749999715015292,307.5,1
